Location Name,Customer Name,Ship To Name,Part Name,PO Number,Job Number,OEM Number,Customer Part Number,Received Date,Kitting Boxing Date,Job Status Code,Work Order Status,Job Status,Barcode,CycleCount,Serial Number,Parameter,DC_Status,Lower Limit,Measurement MIN,Measurement MAX,Measurement AVG,Upper Limit,DMR ID,Tag,DMR Opened Date,DMR Closed Date,DMR Problem Description,DMR Problem Details,DMR Resolution Category,DMR Resolution Details,Customer ID,Historical Cycle Count,Kit Number,Measurement Count,Measurement Total,Normalize Statistics,PF Created Date,PF last updated date,Process Flow ID,PS Cycle Count,Ship to Customer,Work Order Status ID,WP Customer Part Number,WP Part ID
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,Post Strip Weight,Pass,15,19.8,19.8,19.8,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,CDI - Flatness,Pass,0,0.0009,0.0009,0.0009,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6334,17.6334,17.6334,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3441,0.3441,0.3441,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.139,0.139,0.139,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.5831,0.5831,0.5831,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,Surface Roughness- Post Blast,Pass,200,225.2,242.7,235.375,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,82.8,97.8,92.85,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,Incoming Weight,Pass,15,30.8,30.8,30.8,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,Post Strip Weight,Pass,15,19.8,19.8,19.8,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,CDI - Flatness,Pass,0,0.001,0.001,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6341,17.6341,17.6341,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3439,0.3439,0.3439,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.139,0.139,0.139,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.5839,0.5839,0.5839,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,Surface Roughness- Post Blast,Pass,200,250.7,282,265.25,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,56.7,95.4,71.63333333,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,07/09/2015,7/13/2015 ,,,,,4,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,Incoming Weight,Pass,15,29.5,29.5,29.5,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,Post Strip Weight,Pass,15,19.6,19.6,19.6,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,CDI - Flatness,Pass,0,0.0011,0.0011,0.0011,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6349,17.6349,17.6349,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.343,0.343,0.343,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1379,0.1379,0.1379,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.584,0.584,0.584,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,Surface Roughness- Post Blast,Pass,200,249,285,270.25,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,74.2,110.5,92.21666667,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/06/2015,08/10/2015,,,,,5,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,Incoming Weight,Pass,15,29,29,29,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,Post Strip Weight,Pass,15,25,25,25,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,CDI - Flatness,Pass,0,0.001,0.001,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6349,17.6349,17.6349,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3434,0.3434,0.3434,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1381,0.1381,0.1381,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.5837,0.5837,0.5837,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,Surface Roughness- Post Blast,Pass,200,228,244,237,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,147,215,186.5,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/14/2015,,,,,6,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,Incoming Weight,Pass,15,29.2,29.2,29.2,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,Post Strip Weight,Pass,15,19.8,19.8,19.8,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,CDI - Flatness,Pass,0,0.0008,0.0008,0.0008,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6315,17.6315,17.6315,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3353,0.3353,0.3353,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1374,0.1374,0.1374,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.5822,0.5822,0.5822,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,Surface Roughness- Post Blast,Pass,200,246.6,276.7,265.275,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,188.9,389.4,317.05,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/09/2015,10/23/2015 3:16:42 PM,,,,,7,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,Incoming Weight,Pass,15,28.6,28.6,28.6,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,Post Strip Weight,Pass,15,19,19,19,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.635,17.635,17.635,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.343,0.343,0.343,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1376,0.1376,0.1376,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.584,0.584,0.584,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,Surface Roughness- Post Blast,Pass,200,211,244,227,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,119,175,137.1666667,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/11/2015,11/18/2015 12:17:10 PM,,,,,8,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,Incoming Weight,Pass,15,29.4,29.4,29.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,Post Strip Weight,Pass,15,19,19,19,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,CDI - Flatness,Pass,0,0.0009,0.0009,0.0009,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.635,17.635,17.635,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3434,0.3434,0.3434,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1388,0.1388,0.1388,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.584,0.584,0.584,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,Surface Roughness- Post Blast,Pass,200,267.8,283.6,277.825,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,115.7,224.3,179.4833333,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,1/25/2016 9:55:34 PM,02/01/2016,,,,,9,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,Incoming Weight,Pass,15,25,25,25,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,Post Strip Weight,Pass,15,19.2,19.2,19.2,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,CDI - Flatness,Pass,0,0.0008,0.0008,0.0008,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6358,17.6358,17.6358,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3434,0.3434,0.3434,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1382,0.1382,0.1382,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.5849,0.5849,0.5849,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,Surface Roughness- Post Blast,Pass,200,234,247,240.25,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,129,142,135.3333333,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/19/2016 9:48:12 PM,03/01/2016,,,,,10,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,Incoming Weight,Pass,15,31.6,31.6,31.6,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,Post Strip Weight,Pass,15,19.2,19.2,19.2,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6363,17.6363,17.6363,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3428,0.3428,0.3428,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1382,0.1382,0.1382,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.5847,0.5847,0.5847,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,Surface Roughness- Post Blast,Pass,200,256,270,263.75,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,233,280,261.5,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/01/2016,4/13/2016 2:28:29 PM,,,,,11,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,Incoming Weight,Pass,15,24.4,24.4,24.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,Post Strip Weight,Pass,15,19.4,19.4,19.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,CDI - Flatness,Pass,0,0.001,0.001,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.638,17.638,17.638,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.343,0.343,0.343,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.134,0.134,0.134,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,CDI - Distance,Pass,0.572,0.584,0.584,0.584,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,Surface Roughness- Post Blast,Pass,200,239,267,255.25,300,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/09/2016,5/19/2016 5:31:27 PM,,,,,12,SN01,Inner Cells,Pass,0,158,226,185,1000,,,,,,,,,,,,,,,,,,,,,,
